OPC-N2 FirmwareVer=OPC-016b...............................BD
Config info:
GSC,1.000
LaserDAC,150
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.150,0.401,0.893,1.646,3.208,8.529,22.449,47.712,99.541,199.531,381.703,696.909,1150.346,1767.145,2460.611
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.3981013333
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),T(C),P(Pa),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2.960,25.3,101138,1.382,0.149,0.160,0.160
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3.032,25.3,101138,1.380,0.379,0.412,0.412
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2.873,25.3,101137,1.373,0.402,0.437,0.437
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.873,25.3,101140,1.380,0.203,0.209,0.209
11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,47,0,0,2.661,25.3,101140,1.381,0.481,0.754,0.767
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.661,25.3,101144,1.380,0.373,0.383,0.383
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.661,25.3,101143,1.381,0.065,0.067,0.067
8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,2.686,25.3,101143,1.381,0.267,1.959,3.768
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.686,25.3,101143,1.372,0.240,0.247,0.247
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2.740,25.3,101131,1.381,0.386,0.413,0.413
16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2.795,25.4,101143,1.380,0.441,0.470,0.470
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795,25.4,101139,1.380,0.188,0.193,0.193
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2.819,25.4,101138,1.381,0.343,0.360,0.360
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2.875,25.4,101141,1.380,0.379,0.413,0.413
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,2.875,25.4,101141,1.373,0.425,0.663,0.675
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2.875,25.4,101136,1.380,0.341,0.576,0.588
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2.875,25.4,101136,1.380,0.341,0.576,0.588
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,2.875,25.4,101136,1.380,0.362,0.597,0.609
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,25.4,101138,1.380,0.284,0.292,0.292
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,25.5,101140,1.381,0.515,0.656,0.658
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,25.5,101133,1.374,0.204,0.210,0.210
13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2.875,25.5,101139,1.381,0.382,0.617,0.630
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,25.5,101137,1.380,0.223,0.229,0.229
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,2.875,25.5,101133,1.381,0.321,0.555,0.567
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2.913,25.5,101136,1.380,0.231,0.246,0.246
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2.904,25.5,101141,1.380,0.292,0.309,0.309
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2.949,25.5,101139,1.373,0.403,0.484,0.485
17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2.970,25.5,101145,1.380,0.569,0.715,0.717
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2.979,25.5,101136,1.380,0.316,0.340,0.340
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.979,25.5,101144,1.380,0.305,0.775,0.834
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.015,25.5,101134,1.381,0.223,0.237,0.237
14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.038,25.5,101137,1.380,0.457,0.545,0.546
