Software ver: OPC-N2 Alphasense 1.0.5591.26628
Size LUT file,OPC-N2_06-02-2015.LUT
InfoString,OPC-N2 FirmwareVer=OPC-016b...............................BD
Gain scaling coeff,1
Laser digital pot setting,150
Fan digital pot setting,255
ToF to SFR factor,74
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Bin low boundary (ADC o/p),12,17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685
Bin high boundary (ADC o/p),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
Bin low boundary (particle diameter [um]),0.38,0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16
Bin high boundary (particle diameter [um]),0.54,0.78,1.05,1.34,1.59,2.07,3,4,5,6.5,8,10,12,14,16,17.5
Bin centre (particle diameter [um]),0.46000000834465,0.659999996423721,0.914999961853027,1.19499999284744,1.4650000333786,1.8299999833107,2.5349999666214,3.5,4.5,5.75,7.25,9,11,13,15,16.75
Vol of a particle in bin (um3) (calculated by software),0.0510,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.5410,199.5320,381.7035,696.9100,1150.3465,1767.1459,2460.6115
Vol of a particle in bin (um3) (values stored on OPC),0.0510,0.1505,0.4011,0.8935,1.6463,3.2089,8.5297,22.4493,47.7129,99.5410,199.5320,381.7035,696.9100,1150.3466,1767.1459,2460.6116
Density of a particle in bin (g/ml),1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
Sample volume weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C) or Pressure(Pa),PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
42236.3624054167,14.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,14.377,0.974,3.43,101157,0.34,0.35,0.35,0.34,0.35,0.35
42236.3624169907,13.418,4.129,1.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,18.578,0.969,3.46,27,0.67,0.80,0.81,0.51,0.58,0.58
42236.3624285648,7.240,1.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,8.274,0.967,3.46,101155,0.23,0.25,0.25,0.41,0.47,0.47
42236.3624401389,11.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,11.297,0.974,3.46,27,0.26,0.27,0.27,0.38,0.42,0.42
42236.362451713,13.443,7.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,20.682,0.967,3.40,101156,0.76,0.85,0.85,0.45,0.50,0.50
42236.362463287,13.568,1.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0.00,0.00,0.00,14.612,0.958,3.40,27,0.38,0.41,0.41,0.44,0.49,0.49
42236.3624748611,11.271,1.025,0.000,1.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.67,7.67,0.00,0.00,13.321,0.976,3.42,101162,0.47,0.76,0.77,0.45,0.53,0.53
42236.3624864352,18.821,0.000,1.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,20.076,0.797,3.42,27,0.58,0.69,0.69,0.46,0.55,0.55
42236.3625186227,12.590,1.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.33,0.00,0.00,0.00,14.442,2.700,3.45,101155,0.41,0.43,0.43,0.46,0.53,0.54
42236.3625233218,13.973,2.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0.00,0.00,0.00,16.768,0.358,3.45,27,0.49,0.53,0.53,0.46,0.53,0.54
